community,region,date,ndvi,rainfall_mm,temp_max,temp_min,humidity,et0,lst_celsius,ndvi_anomaly,rainfall_deficit,water_balance,spei_proxy,drought_label,community_enc,region_enc
Bolgatanga,Upper East,2022-01-02,0.2075877695430846,0.0,34.95,21.5,18.0,15.55,35.620114989006595,0.0,0.0,-15.55,0.6407018911200181,0,0,10
Bolgatanga,Upper East,2022-01-09,0.1849371232892877,0.0,33.5,21.385714285714283,25.0,48.89,37.95809244610689,-0.0113253231268984,0.0,-48.89,0.2038202349111049,0,0,10
Bolgatanga,Upper East,2022-01-16,0.1894360142204431,0.0,35.34285714285714,21.77142857142857,17.428571428571427,55.5,36.97599711895688,-0.004550954797162,0.0,-55.5,-0.2921284646101606,0,0,10
Bolgatanga,Upper East,2022-01-23,0.1845094939861317,0.0,32.9,19.87142857142857,15.571428571428571,56.15,35.99390179180688,-0.007108106273605,0.0,-56.15,-0.7938855723240177,0,0,10
Bolgatanga,Upper East,2022-01-30,0.1980994031266005,0.0,34.68571428571429,21.142857142857142,15.714285714285714,58.260000000000005,35.619919634056885,0.0088538944709847,0.0,-58.260000000000005,-1.1755426706402925,0,0,10
Bolgatanga,Upper East,2022-02-06,0.1839884863229443,0.0,34.67142857142857,20.5,13.428571428571429,57.12,35.5315120422552,-0.0050198630910855,0.0,-57.12,-1.2490860543711035,0,0,10
Bolgatanga,Upper East,2022-02-13,0.1921744384920032,0.0,37.31428571428571,22.542857142857144,16.857142857142858,56.47,41.05620384644533,0.0024814830100833,0.0,-56.47,-1.257753986596971,0,0,10
Bolgatanga,Upper East,2022-02-20,0.1760555068292211,0.0,38.8,24.4,17.714285714285715,59.73,39.61353231064726,-0.0115239518634711,0.0,-59.73,-1.2897449117192432,0,0,10
Bolgatanga,Upper East,2022-02-27,0.1829496949536209,0.0,38.12857142857143,24.11428571428572,16.428571428571427,57.92,38.17212691753633,-0.0008423366958265,0.0,-57.92,-1.286706667433888,0,0,10
Bolgatanga,Upper East,2022-03-06,0.1761143714591549,0.1,38.75714285714286,26.642857142857142,47.42857142857143,46.07,42.0421377846294,-0.005709131474345,0.075,-45.97,-1.1870701268994357,0,0,10
Bolgatanga,Upper East,2022-03-13,0.1692790479646891,0.0,39.62857142857143,26.685714285714287,32.142857142857146,53.88,38.175820712679865,-0.0068206073369824,-0.025,-53.88,-1.1639258542551096,0,0,10
Bolgatanga,Upper East,2022-03-20,0.1764912436193993,8.7,38.07142857142857,26.942857142857143,64.14285714285714,42.42,34.30950364073033,0.0002826541201832,6.5,-33.72,-0.931500166425414,0,0,10
Bolgatanga,Upper East,2022-03-27,0.1837034392741095,0.6,38.92857142857143,27.942857142857143,59.0,44.73,38.81756981475411,0.0073064136947713,-1.7499999999999996,-44.13,-0.8082725526164363,0,0,10
Bolgatanga,Upper East,2022-04-03,0.1909156349288197,0.7999999999999999,38.457142857142856,27.4,45.71428571428572,49.27,39.18913821425849,0.0108182934820653,-1.725,-48.470000000000006,-0.8306125841264032,0,0,10
Bolgatanga,Upper East,2022-04-10,0.1981278305835299,2.1,38.98571428571428,27.75714285714286,64.85714285714286,47.63,36.77544147661723,0.0108182934820653,-0.9499999999999996,-45.53,-0.7559968788831137,0,0,10
Bolgatanga,Upper East,2022-04-17,0.2053400262382402,22.7,37.271428571428565,25.857142857142858,75.71428571428571,44.57,40.71614132370155,0.0108182934820653,16.15,-21.87,-0.6501051295258705,0,0,10
Bolgatanga,Upper East,2022-04-24,0.2125522218929504,22.8,37.22857142857144,26.228571428571428,73.14285714285714,42.08,42.180512522429126,0.0108182934820653,10.7,-19.28,-0.4280452163167994,0,0,10
Bolgatanga,Upper East,2022-05-01,0.2197644175476606,19.0,36.51428571428571,26.2,72.28571428571429,38.370000000000005,41.554548155988265,0.0108182934820653,2.3500000000000014,-19.370000000000005,-0.1680072495407845,0,0,10
Bolgatanga,Upper East,2022-05-08,0.2269766132023709,2.7,36.05714285714286,26.571428571428573,76.71428571428571,40.2,40.9285837895474,0.0108182934820653,-14.1,-37.5,-0.0962510683307708,0,0,10
Bolgatanga,Upper East,2022-05-15,0.2341888088570811,22.6,36.114285714285714,26.02857142857143,84.0,41.58,40.302619423106535,0.0108182934820653,5.824999999999999,-18.98,-0.0704259919052489,0,0,10
Bolgatanga,Upper East,2022-05-22,0.2669605408131911,27.0,33.885714285714286,25.25714285714286,83.71428571428571,35.67,32.72410113712726,0.0299879457081151,9.175,-8.670000000000002,0.0243851018230507,0,0,10
Bolgatanga,Upper East,2022-05-29,0.2997322727693012,4.6,33.142857142857146,24.542857142857144,87.85714285714286,36.12,36.49749071242627,0.0427677138588151,-9.625,-31.52,-0.0841874513153884,0,0,10
Bolgatanga,Upper East,2022-06-05,0.3325040047254113,4.9,34.857142857142854,25.3,79.28571428571429,41.07,31.906315412186245,0.0491575979341651,-9.874999999999998,-36.17,-0.072302554552086,0,0,10
