community,region,date,ndvi,rainfall_mm,temp_max,temp_min,humidity,et0,lst_celsius,ndvi_anomaly,rainfall_deficit,water_balance,spei_proxy,drought_label
Bolgatanga,Upper East,2019-01-06,0.1911503250542293,0.0,33.78333333333333,20.78333333333333,28.166666666666668,42.74,35.74009502388225,0.0,0.0,-42.74,0.446082410792501,0
Bolgatanga,Upper East,2019-01-13,0.1915089385345238,0.0,35.18571428571429,20.900000000000002,26.0,48.62,38.3571154186356,0.00017930674014723924,0.0,-48.62,0.02414393471567483,0
Bolgatanga,Upper East,2019-01-20,0.19737224773585366,1.2,35.871428571428574,21.985714285714288,32.285714285714285,46.17,40.14141904015787,0.004028410627651413,0.8,-44.97,-0.36611878163921757,0
Bolgatanga,Upper East,2019-01-27,0.18659484972643794,0.0,35.3,20.057142857142857,24.142857142857142,47.58,40.37678030781655,-0.005061740536323217,-0.3,-47.58,-0.7790318357678765,0
Bolgatanga,Upper East,2019-02-03,0.1708698664200796,0.0,36.75714285714286,21.828571428571426,31.857142857142858,47.94,39.204247011549455,-0.015716609184144165,-0.3,-47.94,-0.8241589455087134,0
Bolgatanga,Upper East,2019-02-10,0.17349542376160484,0.0,36.5,23.0,22.571428571428573,54.32,38.316580151128505,-0.008587673149389158,-0.3,-54.32,-0.8736252004169387,0
Bolgatanga,Upper East,2019-02-17,0.1745850142362937,0.0,36.3,22.24285714285714,15.857142857142858,58.230000000000004,37.48442315954415,-0.0018012742998103348,0.0,-58.230000000000004,-0.988699330256073,0
Bolgatanga,Upper East,2019-02-24,0.17080295330534484,0.0,38.042857142857144,24.357142857142858,25.714285714285715,51.17,36.6522661679598,-0.0016353611254859013,0.0,-51.17,-1.0198543925579202,0
Bolgatanga,Upper East,2019-03-03,0.16702089237439602,0.0,36.142857142857146,22.957142857142856,14.285714285714286,55.05,40.34890141272206,-0.004455178545013844,0.0,-55.05,-1.0815570368381802,0
Bolgatanga,Upper East,2019-03-10,0.150096622574663,0.1,37.98571428571428,25.285714285714285,38.857142857142854,46.53,40.4603982915919,-0.015529748048011383,0.07500000000000001,-46.43,-1.0130853260967947,0
